timestamp,crowd_count,frame_name,frame_index,is_synthetic,hour,minute,day_of_week,day_name,is_weekend,day_of_month,month,year,is_holiday
2025-10-27 00:39:00,80.21,frame_000052.jpg,52,0,0,39,0,Monday,0,27,10,2025,0
2025-10-27 00:39:45,66.16,frame_000053.jpg,53,0,0,39,0,Monday,0,27,10,2025,0
2025-10-27 00:40:30,53.45,frame_000054.jpg,54,0,0,40,0,Monday,0,27,10,2025,0
2025-10-27 00:41:15,60.85,frame_000055.jpg,55,0,0,41,0,Monday,0,27,10,2025,0
2025-10-27 00:42:00,57.51,frame_000056.jpg,56,0,0,42,0,Monday,0,27,10,2025,0
2025-10-27 00:42:45,98.23,frame_000057.jpg,57,0,0,42,0,Monday,0,27,10,2025,0
2025-10-27 00:43:30,69.59,frame_000058.jpg,58,0,0,43,0,Monday,0,27,10,2025,0
2025-10-27 00:44:15,77.67,frame_000059.jpg,59,0,0,44,0,Monday,0,27,10,2025,0
2025-10-27 00:45:00,74.49,frame_000060.jpg,60,0,0,45,0,Monday,0,27,10,2025,0
2025-10-27 00:45:45,59.82,frame_000061.jpg,61,0,0,45,0,Monday,0,27,10,2025,0
2025-10-27 00:46:30,68.93,frame_000062.jpg,62,0,0,46,0,Monday,0,27,10,2025,0
2025-10-27 00:47:15,94.98,frame_000063.jpg,63,0,0,47,0,Monday,0,27,10,2025,0
2025-10-27 00:48:00,79.32,frame_000064.jpg,64,0,0,48,0,Monday,0,27,10,2025,0
2025-10-27 00:48:45,101.19,frame_000065.jpg,65,0,0,48,0,Monday,0,27,10,2025,0
2025-10-27 00:49:30,88.94,frame_000066.jpg,66,0,0,49,0,Monday,0,27,10,2025,0
2025-10-27 00:50:15,82.68,frame_000067.jpg,67,0,0,50,0,Monday,0,27,10,2025,0
2025-10-27 00:51:00,79.39,frame_000068.jpg,68,0,0,51,0,Monday,0,27,10,2025,0
2025-10-27 00:51:45,80.76,frame_000069.jpg,69,0,0,51,0,Monday,0,27,10,2025,0
2025-10-27 00:52:30,76.35,frame_000070.jpg,70,0,0,52,0,Monday,0,27,10,2025,0
2025-10-27 00:53:15,79.95,frame_000071.jpg,71,0,0,53,0,Monday,0,27,10,2025,0
2025-10-27 00:54:00,94.3,frame_000072.jpg,72,0,0,54,0,Monday,0,27,10,2025,0
2025-10-27 00:54:45,66.25,frame_000073.jpg,73,0,0,54,0,Monday,0,27,10,2025,0
2025-10-27 00:55:30,71.34,frame_000074.jpg,74,0,0,55,0,Monday,0,27,10,2025,0
2025-10-27 00:56:15,59.4,frame_000075.jpg,75,0,0,56,0,Monday,0,27,10,2025,0
2025-10-27 00:57:00,55.6,frame_000076.jpg,76,0,0,57,0,Monday,0,27,10,2025,0
2025-10-27 00:57:45,74.3,frame_000077.jpg,77,0,0,57,0,Monday,0,27,10,2025,0
2025-10-27 00:58:30,61.97,frame_000078.jpg,78,0,0,58,0,Monday,0,27,10,2025,0
2025-10-27 00:59:15,74.43,frame_000079.jpg,79,0,0,59,0,Monday,0,27,10,2025,0
2025-10-27 01:00:00,56.17,frame_000080.jpg,80,0,1,0,0,Monday,0,27,10,2025,0
2025-10-27 01:00:45,93.18,frame_000081.jpg,81,0,1,0,0,Monday,0,27,10,2025,0
2025-10-27 01:01:30,57.12,frame_000082.jpg,82,0,1,1,0,Monday,0,27,10,2025,0
2025-10-27 01:02:15,102.81,frame_000083.jpg,83,0,1,2,0,Monday,0,27,10,2025,0
2025-10-27 01:03:00,76.69,frame_000084.jpg,84,0,1,3,0,Monday,0,27,10,2025,0
2025-10-27 01:03:45,66.95,frame_000085.jpg,85,0,1,3,0,Monday,0,27,10,2025,0
2025-10-27 01:04:30,69.9,frame_000086.jpg,86,0,1,4,0,Monday,0,27,10,2025,0
2025-10-27 01:05:15,94.37,frame_000087.jpg,87,0,1,5,0,Monday,0,27,10,2025,0
2025-10-27 01:06:00,59.71,frame_000088.jpg,88,0,1,6,0,Monday,0,27,10,2025,0
2025-10-27 01:06:45,71.88,frame_000089.jpg,89,0,1,6,0,Monday,0,27,10,2025,0
2025-10-27 01:07:30,93.12,frame_000090.jpg,90,0,1,7,0,Monday,0,27,10,2025,0
2025-10-27 01:08:15,83.16,frame_000091.jpg,91,0,1,8,0,Monday,0,27,10,2025,0
2025-10-27 01:09:00,92.7,frame_000092.jpg,92,0,1,9,0,Monday,0,27,10,2025,0
2025-10-27 01:09:45,72.96,frame_000093.jpg,93,0,1,9,0,Monday,0,27,10,2025,0
2025-10-27 01:10:30,64.01,frame_000094.jpg,94,0,1,10,0,Monday,0,27,10,2025,0
2025-10-27 01:11:15,85.75,frame_000095.jpg,95,0,1,11,0,Monday,0,27,10,2025,0
2025-10-27 01:12:00,70.75,frame_000096.jpg,96,0,1,12,0,Monday,0,27,10,2025,0
2025-10-27 01:12:45,69.21,frame_000097.jpg,97,0,1,12,0,Monday,0,27,10,2025,0
2025-10-27 01:13:30,85.77,frame_000098.jpg,98,0,1,13,0,Monday,0,27,10,2025,0
2025-10-27 01:14:15,86.88,frame_000099.jpg,99,0,1,14,0,Monday,0,27,10,2025,0
2025-10-27 01:29:15,53.45,,,1,1,29,0,Monday,0,27,10,2025,0
2025-10-27 01:44:15,53.45,,,1,1,44,0,Monday,0,27,10,2025,0
2025-10-27 01:59:15,53.45,,,1,1,59,0,Monday,0,27,10,2025,0
2025-10-27 02:14:15,53.45,,,1,2,14,0,Monday,0,27,10,2025,0
2025-10-27 02:29:15,53.45,,,1,2,29,0,Monday,0,27,10,2025,0
2025-10-27 02:44:15,53.45,,,1,2,44,0,Monday,0,27,10,2025,0
2025-10-27 02:59:15,53.45,,,1,2,59,0,Monday,0,27,10,2025,0
2025-10-27 03:14:15,53.45,,,1,3,14,0,Monday,0,27,10,2025,0
2025-10-27 03:29:15,53.45,,,1,3,29,0,Monday,0,27,10,2025,0
2025-10-27 03:44:15,53.45,,,1,3,44,0,Monday,0,27,10,2025,0
2025-10-27 03:59:15,53.45,,,1,3,59,0,Monday,0,27,10,2025,0
2025-10-27 04:14:15,53.45,,,1,4,14,0,Monday,0,27,10,2025,0
2025-10-27 04:29:15,53.45,,,1,4,29,0,Monday,0,27,10,2025,0
2025-10-27 04:44:15,53.45,,,1,4,44,0,Monday,0,27,10,2025,0
2025-10-27 04:59:15,53.45,,,1,4,59,0,Monday,0,27,10,2025,0
2025-10-27 05:14:15,53.45,,,1,5,14,0,Monday,0,27,10,2025,0
2025-10-27 05:29:15,53.45,,,1,5,29,0,Monday,0,27,10,2025,0
2025-10-27 05:44:15,53.45,,,1,5,44,0,Monday,0,27,10,2025,0
2025-10-27 05:59:15,53.45,,,1,5,59,0,Monday,0,27,10,2025,0
2025-10-27 06:14:15,57.71,,,1,6,14,0,Monday,0,27,10,2025,0
2025-10-27 06:29:15,61.98,,,1,6,29,0,Monday,0,27,10,2025,0
2025-10-27 06:44:15,62.14,,,1,6,44,0,Monday,0,27,10,2025,0
